Order,TorqStop P/N,Vendor P/N,Description,Part Terminology,Part Terminology ID,Brand ID (OPC),Sub Brand ID (TorqStop),Part Group,GL Code,Make,Caliper Model, X REF NO.,Vehicle Type,Application,Pad Shape,Brake Chamber Mounting Angle,Bracket Mounting Type,Position,ADJUSTMENT DESIGN,PAD RETAINER STYLE,# OF BOLT HOLES IN BRACKET,BOLT HOLE SIZE,BOLT HOLE SPACING,Caliper Color,Caliper Finish,Hardware Included,Pads included,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Availability Status,UPC,EAN (Other Countries),GTIN-14 (Shipping Container Code),Carton Weight (lb),Carton Length (in),Carton Width (in),Carton Height (in),Items per Case,Minimum Order QTY,PCS /  Pallet,Country of Origin,HTS Code,VMRS Code,Warranty 
4,CRB001R,TK081256,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Bendix,ADB22X,K081257 K109958XK097847SC K147135X,Truck,Freightliner® Western Star®,D1369,12 Deg.,Vertical (Radial),(B) Left,Two Tappets,Flat Bar  with Clevis,8,2-M16*1.5 6-M16*2,266/390/310,Black,Powder Coat,Yes,No,CRB001R_01_FRO.jpg,CRB001R_02_TOP.jpg,CRB001R_03_BAC.jpg,CRB001R_04_ANG.jpg,CRB001R_05_BOT.jpg,CRB001R_06_PAC.jpg,Active,691303101893,691303101893,10691303101890,72.3,18.05,13.58,10.24,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
32,CRM001L,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,EX225L2,EX225L276,Truck / Trailer,Truck Trailer,D1370,12 Deg.,Radial,Left,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,ADB Caliper_Rep_Image.jpg,,,,,,In Development,691303102173,691303102173,10691303102170,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
31,CRM001R,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,EX225L2,EX225L275,Truck / Trailer,Truck Trailer,D1370,12 Deg.,Radial,Right,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,ADB Caliper_Rep_Image.jpg,,,,,,In Development,691303102166,691303102166,10691303102163,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
34,CRM002L,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,EX225L2,EX225L243 / EX225L247 / EX225L269,Truck,"Mack, Volvo drive",D1370,12 Deg.,Radial,Left,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,ADB Caliper_Rep_Image.jpg,,,,,,In Development,691303102197,691303102197,10691303102194,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
33,CRM002R,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,EX225L2,EX225L244 / EX225L248 / EX225L270,Truck,"Mack, Volvo drive",D1370,12 Deg.,Radial,Right,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,ADB Caliper_Rep_Image.jpg,,,,,,In Development,691303102180,691303102180,10691303102187,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
36,CRM003L,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,EX225H2,EX225H215 / EX225H225,Truck / Vocational,"Mack, Volvo",D1708,12 Deg.,Radial,Left,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,ADB Caliper_Rep_Image.jpg,,,,,,In Development,691303102210,691303102210,10691303102217,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
35,CRM003R,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,EX225H2,EX225H216 / EX225H226,Truck / Vocational,"Mack, Volvo",D1708,12 Deg.,Radial,Right,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,ADB Caliper_Rep_Image.jpg,,,,,,In Development,691303102203,691303102203,10691303102200,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
44,CRM004L,TGTELSA225-LRG726,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,ELSA 225-3,,Truck / Vocational,Mack,D1708,,Radial,Left,Two Tappets,Flat Plate with Bolt,8,2-M16*1.5 6-M20*2,305/244.5/350/369,Black,Powder Coat,Yes,No,CRM004L_Rear.png,CRM004L_Top.jpg,,,,,Active,691303102296,691303102296,10691303102293,103,18.9,18.9,9.45,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
43,CRM004R,TGTELSA225-LRG727,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,ELSA 225-3,,Truck / Vocational,Mack,D1708,,Radial,Right,Two Tappets,Flat Plate with Bolt,8,2-M16*1.5 6-M20*2,305/244.5/350/369,Black,Powder Coat,Yes,No,CRM004R_Rear.png,CRM004R_Top.jpg,,,,,Active,691303102289,691303102289,10691303102286,103,18.9,18.9,9.45,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
30,CRM005L,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,EX225L2,EX225L216,Truck / Trailer,"Freightliner, Western Star, Mack, Volvo",D1370,,Radial,Left,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,ADB Caliper_Rep_Image.jpg,,,,,,In Development,691303102159,691303102159,10691303102156,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
29,CRM005R,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,EX225L2,EX225L215,Truck / Trailer,"Freightliner, Western Star, Mack, Volvo",D1370,,Radial,Right,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,ADB Caliper_Rep_Image.jpg,,,,,,In Development,691303102142,691303102142,10691303102149,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
